,title,authors,language_code,first published,approximate sales,genre
0,A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction
1,The Little Prince ,Antoine de Saint-Exupéry,French,1943,150,fantasy (picture book)
2,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,"fantasy, mystery"
3,The Hobbit,J. R. R. Tolkien,English,1937,100,fantasy
4,And Then There Were None,Agatha Christie,English,1939,100,mystery
5,Dream of the Red Chamber ,Cao Xueqin,Chinese,1791,100,family saga
6,"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85,fantasy
7,She: A History of Adventure,H. Rider Haggard,English,1887,83,adventure
8,The Adventures of Pinocchio ,Carlo Collodi,Italian,1881,80,fantasy
9,The Da Vinci Code,Dan Brown,English,2003,80,mystery thriller
10,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,fantasy
11,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,fantasy
12,Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,fantasy
13,Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,fantasy
14,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,fantasy
15,Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,fantasy
16,The Alchemist ,Paulo Coelho,Portuguese,1988,65,fantasy
17,The Catcher in the Rye,J. D. Salinger,English,1951,65,coming-of-age
18,The Bridges of Madison County,Robert James Waller,English,1992,60,romance
19,Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50,historical
20,You Can Heal Your Life,Louise Hay,English,1984,50,self-improvement
21,One Hundred Years of Solitude ,Gabriel García Márquez,Spanish,1967,50,magic realism
22,Lolita,Vladimir Nabokov,English,1955,50,general
23,Heidi,Johanna Spyri,German,1880,50,children's fiction
24,The Common Sense Book of Baby and Child Care,Dr. Benjamin Spock,English,1946,50,manual
25,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,general
26,Black Beauty,Anna Sewell,English,1877,50,children's literature
27,The Name of the Rose ,Umberto Eco,Italian,1980,50,"historical novel, mystery"
28,The Eagle Has Landed,Jack Higgins,English,1975,50,"war, thriller"
29,Watership Down,Richard Adams,English,1972,50,fantasy
30,The Hite Report,Shere Hite,English,1976,50,
31,Charlotte's Web,E.B. White,English,1952,50,children's fiction
32,The Ginger Man,J. P. Donleavy,English,1955,50,
33,The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,
34,Jonathan Livingston Seagull,Richard Bach,English,1970,44,
35,The Very Hungry Caterpillar,Eric Carle,English,1969,43,
36,A Message to Garcia,Elbert Hubbard,English,1899,40,
37,To Kill a Mockingbird,Harper Lee,English,1960,40,
38,Flowers in the Attic,V. C. Andrews,English,1979,40,
39,Cosmos,Carl Sagan,English,1980,40,
40,Sophie's World ,Jostein Gaarder,Norwegian,1991,40,
41,Angels & Demons,Dan Brown,English,2000,39,
42,Kane and Abel,Jeffrey Archer,English,1979,37,
43,How the Steel Was Tempered ,Nikolai Ostrovsky,Russian,1932,36.4,
44,War and Peace ,Leo Tolstoy,Russian,1869,36.0,
45,The Diary of Anne Frank ,Anne Frank,Dutch,1947,35,
46,Your Erroneous Zones,Wayne Dyer,English,1976,35,
47,The Thorn Birds,Colleen McCullough,English,1977,33,
48,The Purpose Driven Life,Rick Warren,English,2002,33,
49,The Kite Runner,Khaled Hosseini,English,2003,31.5,
50,Valley of the Dolls,Jacqueline Susann,English,1966,31,
51,The Great Gatsby,F. Scott Fitzgerald,English,1925,30,
52,Gone with the Wind,Margaret Mitchell,English,1936,30,
53,Rebecca,Daphne du Maurier,English,1938,30,
54,Nineteen Eighty-Four,George Orwell,English,1949,30,
55,The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,
56,The Girl with the Dragon Tattoo ,Stieg Larsson,Swedish,2005,30,
57,The Lost Symbol,Dan Brown,English,2009,30,
58,The Hunger Games,Suzanne Collins,English,2008,29,
59,The Young Guard ,Alexander Alexandrovich Fadeyev,Russian,1945,26,
60,Who Moved My Cheese?,Spencer Johnson,English,1998,26,
61,A Brief History of Time,Stephen Hawking,English,1988,25,
62,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,
63,Lust for Life,Irving Stone,English,1934,25,
64,The Wind in the Willows,Kenneth Grahame,English,1908,25,
65,The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,
66,Virgin Soil Upturned ,Mikhail Sholokhov,Russian,1935,24,
67,The Celestine Prophecy,James Redfield,English,1993,23,
68,The Fault in Our Stars,John Green,English,2012,23,
69,The Shack,William P. Young,English,2007,22,
70,Uncle Styopa ,Sergey Mikhalkov,Russian,1936,21,
71,The Godfather,Mario Puzo,English,1969,21,
72,Love Story,Erich Segal,English,1970,21,
73,Catching Fire,Suzanne Collins,English,2009,21,
74,Mockingjay,Suzanne Collins,English,2010,20,
75,Kitchen,Banana Yoshimoto,Japanese,1988,20,
76,Andromeda Nebula,Ivan Yefremov,Russian,1957,20,
77,Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20,
78,Gone Girl,Gillian Flynn,English,2012,20,
79,The Girl on the Train,Paula Hawkins,English,2015,20,
80,All Quiet on the Western Front ,Erich Maria Remarque,German,1929,20,
81,The Bermuda Triangle,Charles Berlitz,English,1974,20,
82,Things Fall Apart,Chinua Achebe,English,1958,20,
83,Animal Farm,George Orwell,English,1945,20,
84,Wolf Totem ,Jiang Rong,Chinese,2004,20,
85,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,
86,Jaws,Peter Benchley,English,1974,20,
87,Love You Forever,Robert Munsch,English,1986,20,
88,The Women's Room,Marilyn French,English,1977,20,
89,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,
90,Adventures of Huckleberry Finn,Mark Twain,English,1885,20,
91,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,
92,Pride and Prejudice,Jane Austen,English,1813,20,
93,Kon-Tiki: Across the Pacific in a Raft ,Thor Heyerdahl,Norwegian,1950,20,
94,The Good Soldier Švejk ,Jaroslav Hašek,Czech,1923,20,
95,Where the Wild Things Are,Maurice Sendak,English,1963,20,
96,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,
97,The Secret,Rhonda Byrne,English,2006,20,
98,Fear of Flying,Erica Jong,English,1973,20,
99,Dune,Frank Herbert,English,1965,20,
100,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,
101,The Naked Ape,Desmond Morris,English,1968,20,
102,"Totto-chan, the Little Girl at the Window ",Tetsuko Kuroyanagi,Japanese,1981,18,
103,Matilda,Roald Dahl,English,1988,17,
104,The Book Thief,Markus Zusak,English,2005,16,
105,The Horse Whisperer,Nicholas Evans,English,1995,16,
106,Goodnight Moon,Margaret Wise Brown,English,1947,16,
107,The Neverending Story ,Michael Ende,German,1979,16,
108,Fifty Shades of Grey,E. L. James,English,2011,15.2,
109,The Outsiders,S. E. Hinton,English,1967,15,
110,Guess How Much I Love You,Sam McBratney,English,1994,15,
111,Shōgun,James Clavell,English,1975,15,
112,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15,
113,The Pillars of the Earth,Ken Follett,English,1989,15,
114,How to Win Friends and Influence People,Dale Carnegie,English,1936,15,
115,Perfume ,Patrick Süskind,German,1985,15,
116,The Grapes of Wrath,John Steinbeck,English,1939,15,
117,The Shadow of the Wind ,Carlos Ruiz Zafón,Spanish,2001,15,
118,Interpreter of Maladies,Jhumpa Lahiri,English,2000,15,
119,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,
120,Tuesdays with Morrie,Mitch Albom,English,1997,14,
121,God's Little Acre,Erskine Caldwell,English,1933,14,
122,Follow Your Heart ,Susanna Tamaro,Italian,1994,14,
123,A Wrinkle in Time,Madeleine L'Engle,English,1962,14,
124,Long Walk to Freedom,Nelson Mandela,English,1994,14,
125,The Old Man and the Sea,Ernest Hemingway,English,1952,13,
126,Life After Life,Raymond Moody,English,1975,13,
127,Me Before You,Jojo Moyes,English,2012,12,
128,Norwegian Wood ,Haruki Murakami,Japanese,1987,12,
129,Peyton Place,Grace Metalious,English,1956,12.1,
130,The Plague ,Albert Camus,French,1947,12,
131,No Longer Human ,Osamu Dazai,Japanese,1948,12,
132,Man's Search for Meaning ,Viktor Frankl,German,1946,12,
133,The Divine Comedy ,Dante Alighieri,Italian,1304,11,
134,Becoming,Michelle Obama,English,2018,11.5,
135,The Prophet,Kahlil Gibran,English,1923,11,
136,The Exorcist,William Peter Blatty,English,1971,11,
137,The Gruffalo,Julia Donaldson,English,1999,10.5,
138,Fifty Shades Darker,E. L. James,English,2012,10.4,
139,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,
140,The Cat in the Hat,Dr. Seuss,English,1957,10.5,
141,Diana: Her True Story,Andrew Morton,English,1992,10,
142,The Help,Kathryn Stockett,English,2009,10,
143,Catch-22,Joseph Heller,English,1961,10,
144,The Stranger ,Albert Camus,French,1942,10,
145,Eye of the Needle,Ken Follett,English,1978,10,
146,The Lovely Bones,Alice Sebold,English,2002,10,
147,Wild Swans,Jung Chang,English,1992,10,
148,Santa Evita,Tomás Eloy Martínez,Spanish,1995,10,
149,Night ,Elie Wiesel,Yiddish,1958,10,
150,Confucius from the Heart ,Yu Dan,Chinese,2006,10,
151,The Total Woman,Marabel Morgan,English,1974,10,
152,Knowledge-value Revolution ,Taichi Sakaiya,Japanese,1985,10,
153,Problems in China's Socialist Economy ,Xue Muqiao,Chinese,1979,10,
154,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,
155,The Dukan Diet,Pierre Dukan,French,2000,10,
156,The Joy of Sex,Alex Comfort,English,1972,10,
157,The Gospel According to Peanuts,Robert L. Short,English,1965,10,
158,Life of Pi,Yann Martel,English,2001,10,
159,The Giver,Lois Lowry,English,1993,10,
160,The Front Runner,Patricia Nell Warren,English,1974,10,
161,The Goal,Eliyahu M. Goldratt,English,1984,10,
162,Fahrenheit 451,Ray Bradbury,English,1953,10,
163,Angela's Ashes,Frank McCourt,English,1996,10,
164,The Story of My Experiments with Truth ,Mohandas Karamchand Gandhi,Gujarati,1925,10,
